,,,,,,,,,
"MAT1004 - Álgebra Linear   (3 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
CC6,Indisponível,Presencial,40,0,Fechada,1 - Ciência Computação,2M1(L15) - 2M2(L15) - 2M3(L15),Juliano Rodrigo Lamb,Não
,,,,,,,,,
"MAT1002 - Estruturas Geométricas E Vetores   (3 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
ALI1,Indisponível,Presencial,48,36,Aberta,1 - Engenharia Alimentos,2M1(I11) - 2M2(I11) - 2M3(I11),Tatiane Tambarussi Thomaz,Não
AMB1,Indisponível,Presencial,48,36,Aberta,1 - Eng Amb/Sanitária,4N1(L21) - 4N2(L21) - 4N3(L21),Fausto Pinheiro Da Silva,Não
CC3,Indisponível,Presencial,44,0,Aberta,1 - Ciência Computação,6T1(L41) - 6T2(L41) - 6T3(L41),Tasia Hickmann,Não
ELE2,Indisponível,Presencial,44,0,Aberta,1 - Engenharia Elétrica,3T1(I11) - 3T2(I11) - 3T3(I11),Joao Augusto Navarro Cossich,Não
EP2,Indisponível,Presencial,44,0,Aberta,1 - Eng.Produção,3M3(L42) - 3M4(L42) - 3M5(L42),Franciele Buss Frescki Kestring,Não
,,,,,,,,,
"HLA1002 - Estudos Culturais E Relações Étnico-Raciais   (2 Aulas semanais presenciais, 1 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
LQ1,Indisponível,Presencial,32,22,Aberta,1 - Licenc.Química,5N4(L27) - 5N5(L27),Rudy Nick Vencatto,Matriz:665
,,,,,,2 - Tecnol.Manut.Indl.,,,Matriz:655
,,,,,,,,,Matriz:653
,,,,,,,,,Matriz:656
,,,,,,,,,Matriz:660
,,,,,,,,,Matriz:654
,,,,,,,,,Matriz:659
,,,,,,,,,Matriz:658
,,,,,,,,,
"HLA1006 - Filosofia   (2 Aulas semanais presenciais, 1 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC1,Indisponível,Presencial,48,40,Aberta,1 - Ciência Computação,3T2(L21) - 3T3(L21),Jacqueline Lidiane De Souza Prais,Matriz:665
,,,,,,,,,Matriz:655
,,,,,,,,,Matriz:659
,,,,,,,,,Matriz:658
ELE2,Indisponível,Presencial,44,0,Aberta,1 - Engenharia Elétrica,4T2(L21) - 4T3(L21),Jacqueline Lidiane De Souza Prais,Matriz:665
,,,,,,,,,Matriz:655
,,,,,,,,,Matriz:659
,,,,,,,,,Matriz:658
EP4,Indisponível,Presencial,44,0,Aberta,1 - Eng.Produção,4M2(L21) - 4M3(L21),Rudy Nick Vencatto,Matriz:665
,,,,,,,,,Matriz:655
,,,,,,,,,Matriz:659
,,,,,,,,,Matriz:658
,,,,,,,,,
"FIS1001 - Física Do Movimento   (3 Aulas semanais presenciais, 1 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
ALI3,Indisponível,Presencial,30,0,Aberta,1 - Engenharia Alimentos,5M1(H37) - 5M2(H37) - 5M3(H37),Ricardo Augusto Mascarello Gotardo,Não
AMB2,Indisponível,Presencial,30,0,Aberta,1 - Eng Amb/Sanitária,3N1(L22) - 3N2(L22) - 3N3(L22),Fabricio Tronco Dalmolin,Não
ELE3,Indisponível,Presencial,40,0,Aberta,1 - Engenharia Elétrica,3M1(L27) - 3M2(L27) - 3M3(L27),Sheyse Martins De Carvalho,Não
EP3,Indisponível,Presencial,40,0,Aberta,1 - Eng.Produção,6M1(L23) - 6M2(L23) - 6M3(L23),Gustavo Vinicius Bassi Lukasievicz,Não
,,,,,,,,,
"COM1012 - Fundamentos Da Engenharia De Software   (3 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC2,Indisponível,Presencial,40,0,Fechada,1 - Ciência Computação,4M4(I25) - 4M5(I25) - 6M3(I25),Alan Gavioli,Não
,,,,,,,,,
"HLA1010 - Fundamentos Da Ética   (2 Aulas semanais presenciais, 1 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
OPENGE,Indisponível,Presencial,44,0,Sem Reserva,,4M4(L21) - 4M5(L21),Jacqueline Lidiane De Souza Prais,Matriz:655
,,,,,,,,,Matriz:653
,,,,,,,,,Matriz:656
,,,,,,,,,Matriz:660
,,,,,,,,,Matriz:657
,,,,,,,,,Matriz:654
,,,,,,,,,Matriz:659
,,,,,,,,,Matriz:658
,,,,,,,,,Matriz:662
OPENG1,Indisponível,Presencial,44,0,Sem Reserva,,4T4(L21) - 4T5(L21),Jacqueline Lidiane De Souza Prais,Matriz:655
,,,,,,,,,Matriz:653
,,,,,,,,,Matriz:656
,,,,,,,,,Matriz:660
,,,,,,,,,Matriz:657
,,,,,,,,,Matriz:654
,,,,,,,,,Matriz:659
,,,,,,,,,Matriz:658
,,,,,,,,,Matriz:662
,,,,,,,,,
"FIS1002 - Fundamentos Da Termodinâmica    (2 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
ALI3,Indisponível,Presencial,30,0,Aberta,1 - Engenharia Alimentos,5M4(H36) - 5M5(H36),Daiene De Mello Schaefer,Não
AMB3,Indisponível,Presencial,30,0,Aberta,1 - Eng Amb/Sanitária,5T4(H37) - 5T5(H37),Daiene De Mello Schaefer,Não
EP4,Indisponível,Presencial,30,0,Aberta,1 - Eng.Produção,5M1(H35) - 5M2(H35),Daiene De Mello Schaefer,Não
,,,,,,,,,
"COM1010 - Fundamentos De Banco De Dados   (3 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC2,Indisponível,Presencial,40,0,Fechada,1 - Ciência Computação,2M1(I25) - 2M2(I25) - 2M3(I25),Kelyn Schenatto,Não
,,,,,,,,,
"COM1009 - Fundamentos De Estruturas De Dados   (4 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC2,Indisponível,Presencial,40,0,Fechada,1 - Ciência Computação,3M4(I25) - 3M5(I25) - 5M4(I25) - 5M5(I25),Evando Carlos Pessini,Não
,,,,,,,,,
"MAT1001 - Fundamentos De Matemática   (4 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
ALI1,Indisponível,Presencial,48,36,Aberta,1 - Engenharia Alimentos,5M4(I11) - 5M5(I11) - 6M1(I11) - 6M2(I11),Fausto Pinheiro Da Silva,Não
AMB1,Indisponível,Presencial,48,36,Aberta,1 - Eng Amb/Sanitária,3N3(L21) - 3N4(L21) - 4N4(L21) - 4N5(L21),Vanessa Hlenka,Não
CC1,Indisponível,Presencial,50,40,Fechada,1 - Ciência Computação,4T4(L41) - 4T5(L41) - 5T4(L41) - 5T5(L41),Priscila Pigatto Gasparin,Não
ELE1,Indisponível,Presencial,46,36,Aberta,1 - Engenharia Elétrica,2M4(L22) - 2M5(L22) - 6M4(L22) - 6M5(L22),Tatiane Tambarussi Thomaz,Não
EP1,Indisponível,Presencial,46,36,Aberta,1 - Eng.Produção,3M1(I21) - 3M2(I21) - 5M4(I26) - 5M5(I26),Jairo Marlon Correa,Não
,,,,,,,,,
"COM1006 - Fundamentos De Programação   (6 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC1,Indisponível,Presencial,45,40,Fechada,1 - Ciência Computação,2T4(I25) - 2T5(I25) - 3T4(I25) - 3T5(I25) - 6T1(I25) - 6T2(I25),Cesar Angonese,Não
,,,,,,,,,
"CC56B - Fundamentos De Sistemas Inteligentes   (3 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC6,Indisponível,Presencial,40,0,Fechada,1 - Ciência Computação,4M1(L13) - 4M2(L13) - 4M3(L13),Davi Pereira Dos Santos,Não
,,,,,,,,,
"CC58A - Gerenciamento De Projetos   (3 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC8,Indisponível,Presencial,40,0,Fechada,1 - Ciência Computação,6M3(L16) - 6M4(L16) - 6M5(L16),Kelyn Schenatto,Não
,,,,,,,,,
"CC58B - Gestão Da Inovação E Tecnologia   (2 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC8,Indisponível,Presencial,40,0,Fechada,1 - Ciência Computação,4M4(H610) - 4M5(H610),Luciano Da Costa Barzotto,Não
,,,,,,,,,
"COM1024 - Gestão Da Qualidade De Software   (3 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC4,Indisponível,Presencial,40,0,Fechada,1 - Ciência Computação,4M1(L18) - 4M2(L18) - 4M3(L18),Juliano Rodrigo Lamb,Não
,,,,,,,,,
"COM1028 - Interação Humano-Computador   (3 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC5,Indisponível,Presencial,40,0,Fechada,1 - Ciência Computação,6T1(L15) - 6T2(L15) - 6T3(L15),Alessandra Bortoletto Garbelotti Hoffmann,Não
,,,,,,,,,
"CC56A - Interação Ser Humano-Computador   (4 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC6,Indisponível,Presencial,40,0,Fechada,1 - Ciência Computação,5M1(L15) - 5M2(L15) - 5M3(L15) - 6M1(L15),Alessandra Bortoletto Garbelotti Hoffmann,Não
,,,,,,,,,
"COM1007 - Introdução À Ciência Da Computação   (3 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC1,Indisponível,Presencial,48,40,Fechada,1 - Ciência Computação,5T1(L41) - 5T2(L41) - 5T3(L41),Fernando Schutz,Não
,,,,,,,,,
"COM1016 - Laboratório De Redes De Computadores   (4 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC3,Indisponível,Presencial,40,0,Fechada,1 - Ciência Computação,5T1(L13) - 5T2(L13) - 6T4(L13) - 6T5(L13),Neylor Michel,Não
,,,,,,,,,
"CC56G - Laboratório De Sistemas Operacionais   (4 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC6,Indisponível,Presencial,40,0,Fechada,1 - Ciência Computação,4M4(L13) - 4M5(L13) - 5M4(L13) - 5M5(L13),Juliano Rodrigo Lamb,Não
,,,,,,,,,
"COM1026 - Laboratório De Sistemas Operacionais   (3 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC5,Indisponível,Presencial,40,0,Fechada,1 - Ciência Computação,5T3(L13) - 5T4(L13) - 5T5(L13),Juliano Rodrigo Lamb,Não
,,,,,,,,,
"HLA1001 - Leitura E Escrita Acadêmica   (2 Aulas semanais presenciais, 1 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
AGR1,Indisponível,Presencial,40,30,Aberta,1 - Gestão Do Agronegócio,4N4(I15) - 4N5(I15),Silvana Mendonca Lopes Valentin,Não
ALI1,Indisponível,Presencial,48,44,Aberta,1 - Engenharia Alimentos,3M4(I11) - 3M5(I11),Dayse Grassi Bernardon,Não
CC5,Indisponível,Presencial,44,0,Aberta,1 - Ciência Computação,2T4(I42) - 2T5(I42),Dayse Grassi Bernardon,Não
ELE1,Indisponível,Presencial,48,44,Aberta,1 - Engenharia Elétrica,3M2(L22) - 3M3(L22),Dayse Grassi Bernardon,Não
